preset,ideal_feature_radius_um,lab_feature_radius_um,ideal_order6,lab_order6,ideal_pass,lab_pass,S3_lab_observable,psi_rms_delta_rad
segmented_vector_hexagon,25.12137292882021,25.30677051501076,0.0629811275000701,0.07929056986121195,False,False,False,0.08455991746558698
qplate_radial,5.469228792621374,1.0196867240480527,2.6881905265830916e-17,6.260438850249267e-05,False,False,False,0.07368547614394766
qplate_azimuthal,5.469228792621374,1.0196867240480527,1.4123103388069687e-17,6.95175661450525e-05,False,False,False,0.07995045630406461
