n_axicon,fresnel_amplitude_contrast,order6_over_order0,localisation_ratio,dark_core_depth,edge_contrast,hexagon_pass,exit_metrics_order_fidelity,exit_metrics_angular_contrast
1.0,0.0,0.01586333746095643,0.9999662500814189,1.9239264195984276e-06,0.7903022811623633,True,1.6407872542985211e-15,0.006787498017217176
1.05,0.000498095492226498,0.01585516767646705,0.9999662362174078,1.9221215147754956e-06,0.7903438579859066,True,0.023459561697378895,0.007329283267265329
1.1,0.002036703123732507,0.015870861051241022,0.9999661933919561,1.9165568360340093e-06,0.7904721566210842,True,0.08147411013435975,0.009830635897067263
1.15,0.004693153603529536,0.01604246489716965,0.999966119453715,1.9069869709359554e-06,0.790693200091995,True,0.14898684559643416,0.014979407832274994
1.2,0.00856204493349495,0.016607050207645465,0.9999660117730278,1.8931342634961502e-06,0.7910140688507868,True,0.20898015797201688,0.022194574178473574
1.3,0.020430764398773015,0.020240364949213174,0.9999656814910158,1.8512589156787022e-06,0.7919905142266881,True,0.29177036020003716,0.04438886151735485
1.4,0.03896709345637477,0.029184061685079712,0.9999651659584365,1.787690451099565e-06,0.7934914925213651,True,0.33766865359423476,0.07841600515614462
1.46,0.054136503544164175,0.0377371032044105,0.99996474449597,1.7372805310679325e-06,0.7946978246235955,True,0.35490579219824264,0.10549521480508427
1.6,0.10643765799832611,0.06954230564216023,0.9999632964286934,1.5739907445382922e-06,0.7987025222118088,True,0.3793251587073554,0.19365830426935257
1.8,0.2725875361226854,0.17215588706464663,0.9999588046892439,1.148463041376185e-06,0.8097860970719554,True,0.3964343723607531,0.4223041169371913
