label,regime,method,variant,correction,validity_valid,validity_reasons,first_order_selected_fraction,continuity_relative_power_error,target_write_depth_um,sample_zone_center_um,sample_zone_center_error_um,sample_bessel_zone_um,full_axial_dz_um,air_axial_dz_um,sample_axial_dz_um,corrected_rel_l2_to_no_interface,uncorrected_rel_l2_to_no_interface,phase_only_power_relative_error,interface_spherical_after_waves
general_holographic_ideal_uncorrected,general,holographic,ideal,uncorrected,True,,1.0,5.108104025830971e-16,300.0,426.2372981694183,126.2372981694183,122.52540366116348,8.124999999999995,6.2500000000000036,8.124999999999995,0.0070463615662892795,1.3509248328526977,0.0,-8.86475275699124e-05
general_holographic_ideal_corrected,general,holographic,ideal,corrected,True,,1.0,5.108104025830971e-16,300.0,292.5918112364832,-7.408188763516819,292.30038622640257,8.124999999999995,6.2500000000000036,8.124999999999995,0.0070463615662892795,1.3509248328526977,0.0,-8.86475275699124e-05
general_holographic_lab_uncorrected,general,holographic,lab,uncorrected,True,,0.732111295550108,3.057992328411847e-16,300.0,425.1693623916922,125.16936239169218,124.66127521661565,8.124999999999995,6.249999999999989,8.124999999999995,0.00708682814185797,1.3575136189046024,3.185408675429004e-16,-0.000160558808867512
general_holographic_lab_corrected,general,holographic,lab,corrected,True,,0.732111295550108,3.057992328411847e-16,300.0,279.8251691365258,-20.1748308634742,71.79481026767145,8.124999999999995,6.249999999999989,8.124999999999995,0.00708682814185797,1.3575136189046024,3.185408675429004e-16,-0.000160558808867512
general_physical_ideal_uncorrected,general,physical,ideal,uncorrected,True,,0.950288406121703,5.372907235887204e-16,300.0,93.86381428230857,-206.13618571769143,23.110815558958233,8.124999999999995,6.2500000000000036,8.124999999999995,0.00699536420256715,1.3707633418563818,1.8655927902386108e-16,-8.86475275699124e-05
general_physical_ideal_corrected,general,physical,ideal,corrected,True,,0.950288406121703,5.372907235887204e-16,300.0,289.0551198062844,-10.944880193715619,282.43348464424207,8.124999999999995,6.2500000000000036,8.124999999999995,0.00699536420256715,1.3707633418563818,1.8655927902386108e-16,-8.86475275699124e-05
general_physical_lab_uncorrected,general,physical,lab,uncorrected,True,,0.950288406121703,3.582101341508848e-16,300.0,94.0662415096725,-205.9337584903275,22.86270710320119,8.124999999999995,6.2500000000000036,8.124999999999995,0.0069952873653364896,1.3707875392993483,0.0,-8.86475275699124e-05
general_physical_lab_corrected,general,physical,lab,corrected,True,,0.950288406121703,3.582101341508848e-16,300.0,289.0713541810857,-10.928645818914276,282.41806923029293,8.124999999999995,6.2500000000000036,8.124999999999995,0.0069952873653364896,1.3707875392993483,0.0,-8.86475275699124e-05
limits_holographic_ideal_uncorrected,limits,holographic,ideal,uncorrected,False,phase_sampling_marginal,1.0,2.911478056931328e-16,300.0,42.593165244116314,-257.40683475588366,85.18633048823263,4.500000000000001,5.000000000000013,4.500000000000001,0.007180004661398596,1.399811678581157,1.5163948213183993e-16,-8.86475275699124e-05
limits_holographic_ideal_corrected,limits,holographic,ideal,corrected,False,phase_sampling_marginal,1.0,2.911478056931328e-16,300.0,279.6599866849138,-20.340013315086196,274.1258813219522,4.500000000000001,5.000000000000013,4.500000000000001,0.007180004661398596,1.399811678581157,1.5163948213183993e-16,-8.86475275699124e-05
limits_holographic_lab_uncorrected,limits,holographic,lab,uncorrected,False,phase_sampling_marginal;first_order_geometry_invalid;low_first_order_fraction=1.64e-04,0.0001643552727780371,2.2521340811396753e-16,300.0,325.4807835377817,25.48078353778169,650.9615670755634,4.500000000000001,13.892225356287934,4.500000000000001,0.0079103171257121,1.0993452356151148,1.17298650059358e-16,-0.000160558808867512
limits_holographic_lab_corrected,limits,holographic,lab,corrected,False,phase_sampling_marginal;first_order_geometry_invalid;low_first_order_fraction=1.64e-04,0.0001643552727780371,2.2521340811396753e-16,300.0,337.5,37.5,675.0,4.500000000000001,13.892225356287934,4.500000000000001,0.0079103171257121,1.0993452356151148,1.17298650059358e-16,-0.000160558808867512
limits_physical_ideal_uncorrected,limits,physical,ideal,uncorrected,False,phase_sampling_marginal,0.8497703610317445,3.420253132948619e-16,300.0,32.79225907845169,-267.2077409215483,37.71464747848813,4.500000000000001,5.000000000000013,4.500000000000001,0.007184141044763491,1.4023425660056976,0.0,-8.86475275699124e-05
limits_physical_ideal_corrected,limits,physical,ideal,corrected,False,phase_sampling_marginal,0.8497703610317445,3.420253132948619e-16,300.0,273.9701875037732,-26.029812496226782,249.654476225516,4.500000000000001,5.000000000000013,4.500000000000001,0.007184141044763491,1.4023425660056976,0.0,-8.86475275699124e-05
limits_physical_lab_uncorrected,limits,physical,lab,uncorrected,False,phase_sampling_marginal,0.8497703610317445,3.420411415029994e-16,300.0,32.756636799317576,-267.24336320068244,37.749810439358676,4.500000000000001,5.000000000000013,4.500000000000001,0.007184294154202778,1.4022936009748996,0.0,-8.86475275699124e-05
limits_physical_lab_corrected,limits,physical,lab,corrected,False,phase_sampling_marginal,0.8497703610317445,3.420411415029994e-16,300.0,273.9519473728884,-26.048052627111588,249.68250631556205,4.500000000000001,5.000000000000013,4.500000000000001,0.007184294154202778,1.4022936009748996,0.0,-8.86475275699124e-05
