run_id,generated_at_utc,source_schema_version,case_id,preset,path,generation_method,model_level,hardware_status,plane_label,coordinate_frame,objective_NA,objective_f_eff_mm,pupil_radius_mm,pupil_clipped_fraction,qa_status,regime,pupil_radius_formula,pupil_fill_fraction,pupil_fill_ratio,fourier_ring_radius_mm
20260715T180025Z,2026-07-15T18:00:25.001529+00:00,1.0.0,general_objective_pupil,fast,geometry_only,objective_pupil_limited,hardware_route,current_lab_realizable,objective_pupil_plane,objective_pupil_plane_mm,0.45,4.0,1.8,0.19789869908361457,exploratory,general,f_eff_m * NA / immersion_n,0.8021013009163854,1.111111111111111,0.008477154227779409
20260715T180025Z,2026-07-15T18:00:25.001623+00:00,1.0.0,limits_objective_pupil,fast,geometry_only,objective_pupil_limited,hardware_route,current_lab_realizable,objective_pupil_plane,objective_pupil_plane_mm,0.45,4.0,1.8,0.19789869908361457,exploratory,limits,f_eff_m * NA / immersion_n,0.8021013009163854,1.111111111111111,0.038147194025007346
