regime,method,path,bessel_zone_um,feature_diameter_um,peak_fluence_J_cm2,side_to_core_peak_ratio,throughput_or_efficiency,realised_k_r_m_inv,slm2_residual_before_rad,slm2_residual_after_rad,validity_valid
general,holographic,realistic,68.13495185371208,7.3445966250618895,4.8874619580652965,1.4720845199560129,2.0376625735863307e-06,1603333.3333333333,,,True
general,physical,ideal,113.93709977402183,4.7749999999999995,14.381208136318609,0.5390020664537726,0.950288406121703,1603333.3333333333,1.8138168507664694,0.00712673122363286,True
limits,holographic,realistic,74.8713437313855,4.810980271506869,4.134872749872356,1.0,4.668650479294813e-06,2405000.0,,,True
limits,physical,ideal,103.82949258031162,3.267105263157895,14.810230617730697,0.1047385157554863,0.8497703610317445,2405000.0,1.8131457810552007,0.007086003907332161,True
