run_id,generated_at_utc,source_schema_version,case_id,preset,path,generation_method,model_level,hardware_status,plane_label,coordinate_frame,objective_NA,objective_f_eff_mm,pupil_radius_mm,pupil_clipped_fraction,qa_status,beam_radius_on_slm_mm,pupil_fill_fraction,pupil_fill_ratio
20260603T205637Z,2026-06-03T20:59:17.548996+00:00,1.0.0,beam_radius_1mm,fast,geometry_only,objective_pupil_limited,hardware_route,current_lab_realizable,objective_pupil_plane,objective_pupil_plane_mm,0.45,4.0,1.8,0.0015338106793244544,exploratory,1.0,0.9984661893206755,0.5555555555555555
20260603T205637Z,2026-06-03T20:59:17.549023+00:00,1.0.0,beam_radius_2mm,fast,geometry_only,objective_pupil_limited,hardware_route,current_lab_realizable,objective_pupil_plane,objective_pupil_plane_mm,0.45,4.0,1.8,0.19789869908361457,exploratory,2.0,0.8021013009163854,1.111111111111111
20260603T205637Z,2026-06-03T20:59:17.549039+00:00,1.0.0,beam_radius_3mm,fast,geometry_only,objective_pupil_limited,hardware_route,current_lab_realizable,objective_pupil_plane,objective_pupil_plane_mm,0.45,4.0,1.8,0.4867522559599715,exploratory,3.0,0.5132477440400285,1.6666666666666665
