run_id,generated_at_utc,source_schema_version,case_id,preset,path,generation_method,model_level,hardware_status,plane_label,coordinate_frame,objective_NA,objective_f_eff_mm,pupil_radius_mm,first_order_selected_fraction,pupil_clipped_fraction,requested_vortex_charge,measured_winding,winding_error,winding_pass,slm2_conjugate_mode,vortex_removal_acknowledged,propagation_power_drift_fraction,propagation_power_label,quantitative_metrics_valid,quantitative_metrics_invalid_reason,canonical_zone_um,strict_bessel_region_um,qa_status,regime,route_variant,physical_axicon_phase,physical_axicon_pixelated,physical_axicon_base_angle_deg,equivalent_kr_m_inv,predicted_bessel_length_um,feature_diameter_um,peak_fluence_J_cm2,side_to_core_peak_ratio,slm2_residual_phase_rms_before_rad,slm2_residual_phase_rms_after_rad,validity_valid,phase1r_quantitative_status,phase1r_quantitative_valid,phase1r_case_uid,phase1r_evidence_path
20260715T175904Z,2026-07-15T17:59:04.345766+00:00,1.0.0,general_physical_ideal,fast,ideal,physical_axicon,hardware_route,simulation_only,surface_plane,surface_plane_air_um,0.45,4.0,1.8,0.950288406121703,0.19789869908361457,3,3.0,0.0,True,preserve_vortex,False,0.6959580083651529,fail,False,numerical propagation power drift 0.695958 exceeds the quantitative limit 0.05,117.98565083927515,103.125,exploratory,general,ideal,continuous_conical,False,0.2428511254567136,1603333.3333333333,150.0,5.277631578947369,2.6824520564027026,0.42650954743654307,0.20681781069196392,3.530373127370181e-16,True,invalid_unconverged,false,HDR-e61545f556a3,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
20260715T175906Z,2026-07-15T17:59:06.450844+00:00,1.0.0,general_physical_lab,fast,ideal,physical_axicon,hardware_route,future_hardware_required,surface_plane,surface_plane_air_um,0.45,4.0,1.8,0.950288406121703,0.19789869908361457,3,3.0,0.0,True,preserve_vortex,False,0.6959323921950901,fail,False,numerical propagation power drift 0.695932 exceeds the quantitative limit 0.05,117.97467037466211,103.12499999999999,exploratory,general,lab,continuous_conical,False,0.2428511254567136,1603333.3333333333,150.0,5.277631578947369,2.6840962518825817,0.4262647326335107,0.20681781069196392,0.007165301041878994,True,invalid_unconverged,false,HDR-7148b85ab025,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
20260715T175908Z,2026-07-15T17:59:08.482249+00:00,1.0.0,limits_physical_ideal,fast,ideal,physical_axicon,hardware_route,simulation_only,surface_plane,surface_plane_air_um,0.45,4.0,1.8,0.8497703610317445,0.19789869908361457,3,3.0000000000000004,4.440892098500626e-16,True,preserve_vortex,False,2.2189399323167636,fail,False,numerical propagation power drift 2.21894 exceeds the quantitative limit 0.05,112.17305083464976,74.99999999999999,exploratory,limits,ideal,continuous_conical,False,1.0927041124512413,2405000.0,300.0,3.267105263157895,3.2618891883083956,0.4713025468366433,0.13567084669115595,3.5814737323742026e-16,True,invalid_unconverged,false,HDR-bc5bbd6b18c0,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
20260715T175910Z,2026-07-15T17:59:10.525103+00:00,1.0.0,limits_physical_lab,fast,ideal,physical_axicon,hardware_route,future_hardware_required,surface_plane,surface_plane_air_um,0.45,4.0,1.8,0.8497703610317445,0.19789869908361457,3,3.0,0.0,True,preserve_vortex,False,2.2189665435945938,fail,False,numerical propagation power drift 2.21897 exceeds the quantitative limit 0.05,112.16308170542648,74.99999999999999,exploratory,limits,lab,continuous_conical,False,1.0927041124512413,2405000.0,300.0,3.267105263157895,3.2616289647059324,0.4708551129852424,0.13567084669115595,0.0070802837360281895,True,invalid_unconverged,false,HDR-2c0ba6eac0d3,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
