regime,target_core_diameter_um,target_bessel_length_um,valid,violations,samples_per_feature,samples_per_radial_period,samples_per_axial_zone,output_dx_um,axial_dz_um,configured_filter_radius_lpmm,recommended_filter_radius_lpmm,effective_filter_radius_lpmm,carrier_lpmm,axicon_cone_radius_lpmm,frequency_bin_lpmm,first_order_geometry_valid,first_order_geometry_margin_lpmm
limits,0.5,25.0,False,transverse_feature_nyquist,1.9902818270165203,2.599856451695789,4.166666666666667,0.25122070312500006,5.999999999999999,6.0,30.2740474492081,6.597222222222222,6.944444444444445,30.1519771367081,0.06103515625,False,-23.329603004763655
limits,0.5,50.0,False,transverse_feature_nyquist,1.9902818270165203,2.599856451695789,8.333333333333334,0.25122070312500006,5.999999999999999,6.0,60.4260245859162,6.597222222222222,6.944444444444445,60.3039542734162,0.06103515625,False,-53.48158014147176
limits,0.5,100.0,False,transverse_feature_nyquist,1.9902818270165203,2.599856451695789,16.666666666666668,0.25122070312500006,5.999999999999999,6.0,120.7299788593324,6.597222222222222,6.944444444444445,120.6079085468324,0.06103515625,False,-113.78553441488796
limits,0.5,200.0,False,transverse_feature_nyquist,1.9902818270165203,2.599856451695789,22.222222222222214,0.25122070312500006,9.000000000000002,6.0,241.3378874061648,6.597222222222222,6.944444444444445,241.2158170936648,0.06103515625,False,-234.39344296172035
limits,0.5,400.0,False,transverse_feature_nyquist,1.9902818270165203,2.599856451695789,22.222222222222214,0.25122070312500006,18.000000000000004,6.0,482.5537044998296,6.597222222222222,6.944444444444445,482.4316341873296,0.06103515625,False,-475.60926005538516
limits,0.5,800.0,False,transverse_feature_nyquist,1.9902818270165203,2.599856451695789,22.222222222222214,0.25122070312500006,36.00000000000001,6.0,964.9853386871592,6.597222222222222,6.944444444444445,964.8632683746592,0.06103515625,False,-958.0408942427148
limits,0.75,25.0,True,,2.985422740524781,3.8997846775436833,4.166666666666667,0.25122070312500006,5.999999999999999,6.0,13.522949039925821,6.597222222222222,6.944444444444445,13.400878727425821,0.06103515625,False,-6.578504595481377
limits,0.75,50.0,True,,2.985422740524781,3.8997846775436833,8.333333333333334,0.25122070312500006,5.999999999999999,6.0,26.923827767351643,6.597222222222222,6.944444444444445,26.801757454851643,0.06103515625,False,-19.979383322907196
limits,0.75,100.0,True,,2.985422740524781,3.8997846775436833,16.666666666666668,0.25122070312500006,5.999999999999999,6.0,53.725585222203286,6.597222222222222,6.944444444444445,53.603514909703286,0.06103515625,False,-46.78114077775884
limits,0.75,200.0,True,,2.985422740524781,3.8997846775436833,22.222222222222214,0.25122070312500006,9.000000000000002,6.0,107.32910013190657,6.597222222222222,6.944444444444445,107.20702981940657,0.06103515625,False,-100.38465568746213
limits,0.75,400.0,True,,2.985422740524781,3.8997846775436833,22.222222222222214,0.25122070312500006,18.000000000000004,6.0,214.53612995131314,6.597222222222222,6.944444444444445,214.41405963881314,0.06103515625,False,-207.59168550686869
limits,0.75,800.0,True,,2.985422740524781,3.8997846775436833,22.222222222222214,0.25122070312500006,36.00000000000001,6.0,428.9501895901263,6.597222222222222,6.944444444444445,428.8281192776263,0.06103515625,False,-422.00574514568183
limits,1.0,25.0,True,,3.9805636540330407,5.199712903391578,4.166666666666667,0.25122070312500006,5.999999999999999,6.0,7.660064596677025,6.597222222222222,6.944444444444445,7.537994284177025,0.06103515625,False,-0.7156201522325807
limits,1.0,50.0,True,,3.9805636540330407,5.199712903391578,8.333333333333334,0.25122070312500006,5.999999999999999,6.0,15.19805888085405,6.597222222222222,6.944444444444445,15.07598856835405,0.06103515625,False,-8.253614436409606
