regime,path,zone_um,feature_um,peak_fluence_J_cm2,contrast,valid
general,ideal,116.40626048944806,5.277631578947369,2.6745084199190714,0.4292790742438782,True
general,lab,38.01556727371095,3.270840782177046,4.71838064584986,0.3762627818645029,True
limits,ideal,114.468843391848,3.267105263157895,3.149295287029001,0.47623811360607415,True
limits,lab,249.74551904527,4.776796586842412,0.6053254983641062,1.0,True
