ell,target_core_diameter_um,target_bessel_length_um,gamma_slm_deg,magnification_to_sample,kr_sample_m_inv,study_kind,focused_plane,beam_medium_n,ring_radius_um,core_radius_um,feature_diameter_um,ring_width_um,peak_in_plane,peak_onaxis,onaxis_to_peak_ratio,pulse_energy_at_sample_uJ,pulse_energy_at_surface_air_uJ,fluence_pulse_energy_uJ,first_order_selected_fraction,propagation_method,output_dx_at_peak_um,output_dx_min_um,output_dx_max_um,sas_retained_power_fraction_min,sas_retained_power_fraction_at_peak,sas_z_limit_min_um,sas_z_over_limit_max,sas_output_magnification_at_peak,sas_bandlimit_retained_fraction_min,bessel_zone_um,zone_start_um,zone_end_um,zone_capped,bessel_region_um,bessel_region_start_um,bessel_region_end_um,bessel_region_capped,feature_power_zone_um,feature_power_zone_start_um,feature_power_zone_end_um,feature_power_zone_capped,radius_stability_zone_um,radius_stability_zone_start_um,radius_stability_zone_end_um,radius_stability_zone_capped,bessel_region_peak_level,bessel_region_power_level,bessel_region_radius_tolerance,ring_or_core_power_fraction_min_in_region,ring_or_core_radius_drift_fraction_max_in_region,ring_or_core_radius_drift_fraction_at_peak,peak_fluence_J_cm2,core_or_ring_peak_fluence_J_cm2,side_lobe_peak_fluence_J_cm2,side_to_core_peak_ratio,plane_fluence_integral_J,effective_pulses,incubated_threshold_J_cm2,line_proxy_threshold_length_um,line_proxy_threshold_width_um,line_proxy_threshold_area_um2,study,case_id,path,material,write_depth_um,NA,phase_bits,fill_factor,blaze_period_px,beam_radius_on_slm_mm,hardware_reachable,qa_status,device_grid_label,device_downsample,pupil_N,pupil_dx_um,pupil_window_mm,phase_frequency_lpmm,pupil_nyquist_lpmm,phase_sampling_label,focal_dx_um,focal_kt_nyquist_over_kr,focal_samples_per_radial_period,focal_sampling_label,axial_dz_um,axial_scan_end_um,axial_scan_target_factor,axial_sampling_label,k_medium_m_inv,propagation_power_drift_fraction,sas_retained_power_fraction_mean,validity_valid,validity_violations,validity_samples_per_feature,validity_samples_per_radial_period,validity_samples_per_axial_zone,validity_output_dx_um,validity_action,regime,knob,knob_value,interface_corrected,strehl_like_peak_ratio,absolute_half_ideal_zone_um,phase1r_quantitative_status,phase1r_quantitative_valid,phase1r_case_uid,phase1r_evidence_path
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,1.9024645667269298,1.3031978487909501,3.8049291334538595,1.3237898914387016,152538.2544576489,3.533166163859247,2.3162492428023714e-05,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,33.19804196749407,0.0,33.19804196749407,True,20.25,6.75,27.0,False,27.0,0.0,27.0,True,33.74999999999999,6.75,40.5,False,0.5,0.5,0.15,0.6643075277107784,0.1333333333333332,0.0,8.605459169868361,8.605459169868361,2.026871893487768,0.2355332648122684,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z50_uncorrected,realistic,Cr:ZnSe,50.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,1.807506836298545e-16,1.0,True,,11.941690962099123,15.599138710174733,22.222222222222214,0.25122070312500006,pass,general,write_depth_um,50.0,False,4.67006362224913,121.5,validated_under_phase1_power_gate,true,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,1.6330142204554914,1.005260608139004,3.2660284409109828,1.0680760862001395,32662.992797555416,2.8523388868808763,8.732631772476014e-05,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,47.68850334337934,0.0,47.68850334337934,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,0.5,0.5,0.15,0.574661023338698,0.0,0.0,1.8433053324219102,0.09197552775375233,1.8433053324219102,20.04125855474321,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z50_corrected,realistic,Cr:ZnSe,50.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,5.422520508895635e-16,1.0,True,,11.941690962099123,15.599138710174733,22.222222222222214,0.25122070312500006,pass,general,write_depth_um,50.0,True,1.0,47.25,validated_under_phase1_power_gate,true,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,1.9017446847468842,1.2887730766768657,3.8034893694937684,1.2928969197286702,126808.74364114474,221.09570775229105,0.001743536773599527,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,66.0775065054568,128.42472077985127,194.50222728530807,False,22.49999999999998,165.0,187.49999999999997,False,37.49999999999999,150.0,187.49999999999997,False,134.99999999999997,165.0,300.0,True,0.5,0.5,0.15,0.6334089595028898,0.13333333333333333,0.0,7.154863487669405,7.154863487669405,3.287835881023675,0.45952461380847964,2.6244000000000002e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z150_uncorrected,realistic,Cr:ZnSe,150.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,5.422520508895635e-16,1.0,True,,11.941690962099123,15.599138710174733,20.0,0.25122070312500006,pass,general,write_depth_um,150.0,False,3.8823369440486615,247.5,validated_under_phase1_power_gate,true,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,1.6330142204554914,1.005260608139004,3.2660284409109828,1.0680760862001395,32662.992797555416,2.8523388868808817,8.73263177247603e-05,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,47.68850334337934,0.0,47.68850334337934,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,0.5,0.5,0.15,0.574661023338698,0.0,0.0,1.8433053324219102,0.09197552775375233,1.8433053324219102,20.04125855474321,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z150_corrected,realistic,Cr:ZnSe,150.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,1.807506836298545e-16,1.0,True,,11.941690962099123,15.599138710174733,22.222222222222214,0.25122070312500006,pass,general,write_depth_um,150.0,True,1.0,47.25,validated_under_phase1_power_gate,true,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,2.1426092975688027,1.491575753985324,4.285218595137605,1.3791481037002906,100597.97621135045,6781.337828066582,0.0674102808372545,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,86.60302636110626,340.74324848491926,427.3462748460255,False,25.500000000000025,382.49999999999994,407.99999999999994,False,50.99999999999999,356.99999999999994,407.99999999999994,False,63.75000000000001,382.49999999999994,446.24999999999994,False,0.5,0.5,0.15,0.7801558636170529,0.11764705882352958,0.0,6.028452961954023,5.998575545132765,5.305689329981756,0.8844915413771497,2.6244000000000002e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z300_uncorrected,realistic,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.24635976566053036,1.0,True,,11.941690962099123,15.599138710174733,11.764705882352942,0.25122070312500006,pass,general,write_depth_um,300.0,False,3.0798762634782038,242.24999999999997,invalid_unconverged,false,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,1.6330142204554914,1.005260608139004,3.2660284409109828,1.0680760862001395,32662.992797555416,2.8523388868808723,8.732631772476002e-05,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,47.68850334337934,0.0,47.68850334337934,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,0.5,0.5,0.15,0.574661023338698,0.0,0.0,1.8433053324219102,0.09197552775375233,1.8433053324219102,20.04125855474321,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z300_corrected,realistic,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,1.807506836298545e-16,1.0,True,,11.941690962099123,15.599138710174733,22.222222222222214,0.25122070312500006,pass,general,write_depth_um,300.0,True,1.0,47.25,validated_under_phase1_power_gate,true,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,3.672889064931979,2.5045552389446617,7.345778129863958,2.306190843665013,30351.12214040032,1464.3514852278734,0.048247029498743904,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,134.52074128341906,675.7079528467488,810.2286941301678,False,63.000000000000014,735.0,798.0,False,83.99999999999999,714.0,798.0,False,104.99999999999996,735.0,840.0,True,0.5,0.5,0.15,0.6313278832665725,0.1379310344827586,0.0,4.076611358335386,4.076611358335386,3.8740173673182405,0.950303334507739,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z600_uncorrected,realistic,Cr:ZnSe,600.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.7879039561247279,1.0,True,,11.941690962099123,15.599138710174733,7.142857142857144,0.25122070312500006,pass,general,write_depth_um,600.0,False,0.9292204890260968,105.00000000000006,invalid_unconverged,false,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,1.6330142204554914,1.005260608139004,3.2660284409109828,1.0680760862001395,32662.992797555416,2.85233888688087,8.732631772475995e-05,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,47.68850334337934,0.0,47.68850334337934,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,0.5,0.5,0.15,0.574661023338698,0.0,0.0,1.8433053324219102,0.09197552775375233,1.8433053324219102,20.04125855474321,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z600_corrected,realistic,Cr:ZnSe,600.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,1.807506836298545e-16,1.0,True,,11.941690962099123,15.599138710174733,22.222222222222214,0.25122070312500006,pass,general,write_depth_um,600.0,True,1.0,47.25,validated_under_phase1_power_gate,true,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,3.935302539867611,0.0,7.870605079735222,23.738760482427203,2074.0872087879625,464.8033114806074,0.22410017742321706,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,524.3505412981838,0.0,524.3505412981838,True,29.99999999999997,345.0,374.99999999999994,False,600.0,0.0,600.0,True,29.99999999999997,345.0,374.99999999999994,False,0.5,0.5,0.15,0.8398774938632514,0.06451612903225813,0.0,0.7663657855611309,0.7329812033370176,0.7663657855611309,1.045546300603787,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z1000_uncorrected,realistic,Cr:ZnSe,1000.0000000000001,0.45,8,0.93,20,2.0,False,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.4192815913723685,1.0,True,,11.941690962099123,15.599138710174733,10.0,0.25122070312500006,pass,general,write_depth_um,1000.0,False,0.06349960708264285,0.0,invalid_unconverged,false,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,full_source_to_sample,sample_in_medium,2.44,1.6330142204554914,1.005260608139004,3.2660284409109828,1.0680760862001395,32662.992797555416,2.85233888688088,8.732631772476025e-05,2.6244,2.7337500000000006,2.6244,1.0,bl_asm,0.25122070312500006,0.25122070312500006,0.25122070312500006,1.0,1.0,,,,,47.68850334337934,0.0,47.68850334337934,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,13.5,0.0,13.5,True,0.5,0.5,0.15,0.574661023338698,0.0,0.0,1.8433053324219102,0.09197552775375233,1.8433053324219102,20.04125855474321,2.6243999999999994e-06,300.0,0.8029538686943561,0.0,0.0,0.0,interface_depth_sweep,z1000_corrected,realistic,Cr:ZnSe,1000.0000000000001,0.45,8,0.93,20,2.0,False,marginal,downsampled,4,512,32.0,16.384,2.059561279829788,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,1.807506836298545e-16,1.0,True,,11.941690962099123,15.599138710174733,22.222222222222214,0.25122070312500006,pass,general,write_depth_um,1000.0,True,1.0,47.25,validated_under_phase1_power_gate,true,HDR-55a51993c70b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
