N,dx_um,samples_per_effective_radial_period,retained_spectral_power,mean_corr_to_finest,mean_rmse_to_finest
1536,6.510416666666667,1.9992013007628704,1.0,0.7451742896164598,0.08631137512222418
2048,4.8828125,2.665601734350494,0.999999893100512,0.9107991384347397,0.048560750499371606
3072,3.2552083333333335,3.998402601525741,0.9999998438969318,0.981273271521473,0.022945148754448554
4096,2.44140625,5.331203468700988,0.9999998226187098,1.0,0.0
