method,mean_pearson_r,median_pearson_r,mean_nrmse,median_nrmse,median_ring_cv,maximum_dark_core_ratio
Calibrated physical baseline,0.8831583124712133,0.9831501383176386,0.04100189960627973,0.03337090987577865,0.16676185590405912,0.02265252419705652
Complete digital-twin correction prediction,0.8831583124712133,0.9831501383176386,0.04100189960627973,0.03337090987577865,0.16676185590405912,0.02265252419705652
Ideal finite-energy target,1.0,1.0,0.0,0.0,0.15949769598754757,0.07149097587856913
Measured BMG,0.3333672756473079,0.29744219377650755,0.15768392169714196,0.15611601736274205,0.33768424617325177,0.13457202674920452
Miao-only corrected (same twin),0.9785660844871342,0.9894708832867114,0.019695513046550272,0.016801822970514614,0.16500671094161273,0.098473920793061
Physical fit + Miao corrected,0.8696409772276197,0.9715766299761017,0.04569372006959334,0.034787125738409606,0.17541293895878396,0.037779046297661927
