case_id,path,beam_family,model_level,generation_method,vector_mode,vector_model,vector_program,vector_method,vector_encoder_hardware,lab_realizable,simulation_only,requires_element,uses_waveplates,uses_two_slm,uses_shared_director_axis,ell,target_core_diameter_um,vortex_main_ring_diameter_um,retained_power_fraction,peak_intensity_au,run_id,generated_at_utc,source_schema_version,preset,qa_status,encoded_power_fraction,scalar_reference_case_id,hardware_status
scalar_reference_ell1,vector_theory_atlas,scalar_reference,scalar_reference,scalar_reference,scalar_reference,scalar_sas_with_jones_overlay,scalar_reference,not_applicable,scalar_holographic_reference,True,False,none,False,False,False,1,3.0,3.87617638176981,1.0,0.3374547850066713,20260604T150311Z,2026-06-04T15:03:56.207841+00:00,1.0.0,fast,exploratory,,,current_lab_realizable
scalar_reference_ell3,vector_theory_atlas,scalar_reference,scalar_reference,scalar_reference,scalar_reference,scalar_sas_with_jones_overlay,scalar_reference,not_applicable,scalar_holographic_reference,True,False,none,False,False,False,3,3.0,8.844608297285323,1.0,0.18552770985030032,20260604T150311Z,2026-06-04T15:03:56.520784+00:00,1.0.0,fast,exploratory,,,current_lab_realizable
