optimum,candidate_id,carrier_lpmm,iris_radius_frac,qwp_angle_correction_deg,sector_rotation_deg,global_v_piston_rad,sector_duty_scale,mask_recentre_x_m,mask_recentre_y_m,source,corr_full,corr_focus_crop,corr_v0_support,corr_useful_region,corr_angular,corr_radial,corr_to_realistic_4f,ssim_like_focus,c45,c60,c90,c120,c180,deltaC_c120_minus_c60,h3,h4,h6,h4_over_h6,h3_over_h6,dark_core_ratio,ring_island_count,classifier_label,legacy_strict_gate,P_total,P_useful,P_useful_over_P_total,I_peak,side_lobe_fraction,peak_per_total,single_pixel_peak,local_3x3_peak_mean,local_radius_peak_mean,useful_region_peak,peak_metric_used,peak_metric_definition,fourfold_x_veto,triangular_c3_veto,reference_drift_veto,strict_hexagon_eligible,strict_fail_reasons,legacy_z60_correlation,legacy_angular_correlation,first_order_efficiency,total_throughput,shape_fidelity_score,strict_peak_metric,strict_useful_energy_metric,strict_compromise_score,eligible_for_ranking,ineligibility_note
strict_best_shape,REALISTIC_4F_HEXAGON_REFERENCE,6.25,0.4,0.0,0.0,0.0,1.0,0.0,0.0,immutable_realistic_4f_reference,0.9929984940885893,0.9913894495112028,0.9913095528570024,0.9927726960942468,0.9987876604769691,0.9998710213661473,1.0,0.9902626439350684,0.8001670325445729,0.8607887402989384,0.6033769850986531,0.8319234292169733,0.8027392623408356,-0.028865311081965106,0.013873571188468527,0.13004737685782042,0.15172547791192892,0.8571228685356862,0.09143863891153223,0.001491691564093993,0,visual_hexagonal_field,True,8201.36836456439,2997.8925061523914,0.3655356487955559,62.60234069824219,0.6344643512044441,0.007633158018938375,62.60234069824219,34.2509057852957,26.44984876825696,62.60234069824219,34.2509057852957,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,False,True,,0.9930574171625869,0.9987876604769665,0.9494986597408909,0.9494986597408909,1.0,34.2509057852957,2997.8925061523914,0.7487262291469248,True,
strict_best_peak,REALISTIC_4F_HEXAGON_REFERENCE,6.25,0.4,0.0,0.0,0.0,1.0,0.0,0.0,immutable_realistic_4f_reference,0.9929984940885893,0.9913894495112028,0.9913095528570024,0.9927726960942468,0.9987876604769691,0.9998710213661473,1.0,0.9902626439350684,0.8001670325445729,0.8607887402989384,0.6033769850986531,0.8319234292169733,0.8027392623408356,-0.028865311081965106,0.013873571188468527,0.13004737685782042,0.15172547791192892,0.8571228685356862,0.09143863891153223,0.001491691564093993,0,visual_hexagonal_field,True,8201.36836456439,2997.8925061523914,0.3655356487955559,62.60234069824219,0.6344643512044441,0.007633158018938375,62.60234069824219,34.2509057852957,26.44984876825696,62.60234069824219,34.2509057852957,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,False,True,,0.9930574171625869,0.9987876604769665,0.9494986597408909,0.9494986597408909,1.0,34.2509057852957,2997.8925061523914,0.7487262291469248,True,
strict_best_useful_energy,REALISTIC_4F_HEXAGON_REFERENCE,6.25,0.4,0.0,0.0,0.0,1.0,0.0,0.0,immutable_realistic_4f_reference,0.9929984940885893,0.9913894495112028,0.9913095528570024,0.9927726960942468,0.9987876604769691,0.9998710213661473,1.0,0.9902626439350684,0.8001670325445729,0.8607887402989384,0.6033769850986531,0.8319234292169733,0.8027392623408356,-0.028865311081965106,0.013873571188468527,0.13004737685782042,0.15172547791192892,0.8571228685356862,0.09143863891153223,0.001491691564093993,0,visual_hexagonal_field,True,8201.36836456439,2997.8925061523914,0.3655356487955559,62.60234069824219,0.6344643512044441,0.007633158018938375,62.60234069824219,34.2509057852957,26.44984876825696,62.60234069824219,34.2509057852957,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,False,True,,0.9930574171625869,0.9987876604769665,0.9494986597408909,0.9494986597408909,1.0,34.2509057852957,2997.8925061523914,0.7487262291469248,True,
strict_best_compromise,strict_c6.75_i0.40_q-0.25_r+0.0_p0.00,6.75,0.4,-0.25,0.0,0.0,1.0,0.0,0.0,bounded_search,0.9943848845138155,0.9931874937054824,0.9933714568959242,0.9949471100889395,0.9997113273974959,0.9999567242790904,0.9991182989893304,0.9654258138579307,0.7925657419856712,0.857014959967205,0.5913067376538409,0.8276159264925139,0.7966978277141992,-0.029399033474691083,0.012169193357254323,0.13147205611069174,0.1589308666525663,0.82722795690845,0.07656909959383162,0.0013496370009784971,0,visual_hexagonal_field,True,7122.382176578961,2601.5379373803735,0.365262333989209,54.582244873046875,0.6347376660107911,0.007663481616099397,54.582244873046875,29.475254635843967,22.934600464290096,54.582244873046875,29.475254635843967,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,False,True,,0.9944305552554307,0.9997113273975,0.9480001013246548,0.7819046673160386,0.9967909403941901,29.475254635843967,2601.5379373803735,0.8767022515203139,True,
