case_id,path,obstacle_kind,obstacle_z_um,blocked_fraction,peak_recovery_end,peak_recovery_max,peak_recovery_mean,onaxis_recovery_end,target_bessel_length_um,ell
disk_small,ideal,disk,52.5,0.00042724609375,0.9997518807845827,1.1276993240851827,0.9987173249267727,0.6300287632575451,150.0,3
disk_large,ideal,disk,52.5,0.0012054443359375,1.0025202069200934,1.0113741068133908,0.9214721833409231,3.688061246209892,150.0,3
strip,ideal,strip,52.5,0.015625,1.531466210063179,1.531466210063179,1.2127723925878167,144.94101329803195,150.0,3
square,ideal,square,52.5,0.0003814697265625,1.0044130260294288,1.1898591810180312,1.0118966328155958,0.6006506029149549,150.0,3
