case_id,ell,input_energy_uJ,target_core_diameter_um,target_bessel_length_um,gamma_slm_deg,predicted_sample_energy_uJ,predicted_peak_fluence_J_cm2,predicted_threshold_J_cm2,predicted_bessel_zone_um,measured_ring_radius_um,measured_track_length_um,measured_track_width_um,measured_side_lobe_note,microscope_image_path
ell0_core3_L150,0,10.0,3.0,150.0,0.2428511254567136,2.6244,31.075854861776286,0.8029538686943561,93.12500041321927,,,,,
ell3_core3_L150,3,10.0,3.0,150.0,0.2428511254567136,2.6244,7.117555083687593,0.8029538686943561,78.34160190682017,,,,,
ell5_core4_L200,5,20.0,4.0,200.0,0.18213882128508033,5.2488,11.147966260682995,0.8029538686943561,75.59841357897166,,,,,
