absolute_z_at_relative_zero_mm,mean_anchor_ideal_correlation
18.0,0.7806138646329378
18.5,0.813641714627129
18.75,0.8209528776701257
19.0,0.8209427640143113
19.25,0.8194990813471245
19.5,0.8191277880579501
19.75,0.8197652089318144
20.0,0.8186803094887184
20.25,0.8173261436851194
20.5,0.8165714024877041
20.75,0.8165134940274573
21.0,0.816359889956625
21.25,0.815450079209007
21.5,0.8149878601366035
22.0,0.8151788216295502
24.0,0.8141054058257735
26.0,0.8136057790965356
28.0,0.8135805843096297
30.0,0.8134382817820877
