term,coefficient_rad,coefficient_waves_at_1030nm
tilt_x,-0.3607067005953174,-0.05740825440611307
tilt_y,0.6464901338781806,0.10289210046685363
defocus,-0.2627949143652321,-0.04182510964063803
astig_0,-1.5331985664745535,-0.24401613059583308
astig_45,-0.06893949945235792,-0.010972062112123775
coma_x,-0.06365126856919,-0.01013041402685638
coma_y,0.2623754748385193,0.04175835376663356
trefoil_x,1.1851283104247066,0.18861902880223824
trefoil_y,-0.31941609749530936,-0.050836650819501256
spherical,-1.3000686292851535,-0.206912348709437
