cy_px,cx_px,intensity_cy_px,intensity_cx_px,ring_cy_px,ring_cx_px,centroid_minus_ring_x_um,centroid_minus_ring_y_um,ring_radius_px,ring_radius_um,ring_fit_rms_um,ring_angular_coverage,ring_thickness_um,azimuthal_cv,azimuthal_modulation,peak_counts_mean,integrated_counts,azimuthal_m1_amplitude,azimuthal_m1_phase_rad,azimuthal_m2_amplitude,azimuthal_m2_phase_rad,azimuthal_m3_amplitude,azimuthal_m3_phase_rad,azimuthal_m4_amplitude,azimuthal_m4_phase_rad,azimuthal_m5_amplitude,azimuthal_m5_phase_rad,azimuthal_m6_amplitude,azimuthal_m6_phase_rad,ring_y_sensor_um,ring_x_sensor_um,z_index,acquisition_index,z_hex_mm,z_rel_mm,cx_px_sensor,cy_px_sensor,x_um,y_um,mean_relative_frame_error,max_relative_frame_error
380.97027405652136,411.6734375545806,380.97027405652136,411.6734375545806,398.71852274745527,425.923672297787,-78.37629108763531,-97.61536780013648,68.12080883658854,374.6644486012369,103.69731476925006,0.8,599.5,0.7088687987365527,0.7667145491467102,1523.5,16467890.0,0.6685801807403507,2.7009238775230897,0.46121775433912227,-0.9064767178329096,0.34251029446130843,1.5899875329919997,0.2645355019047751,-1.975950485298757,0.22942635796613947,0.7271439991589989,0.1819347291241759,-2.834995678666831,6394.951875111004,7589.580197637829,0,0,-11.0,-17.0,1357.2357277259869,1148.1682775190704,7464.796502492928,6314.925526354888,0.16057386,0.16224273
380.83371224206695,406.05675997006483,380.83371224206695,406.05675997006483,354.12891982550866,381.62930088695344,134.35102495711263,146.8763582910706,29.597406158105226,162.78573386957873,37.05637795851678,0.7805555555555556,330.0,0.6408322425450763,0.7553142304677201,1819.5,17721604.0,0.7649076503885964,-2.8920504207529882,0.38459987882202434,0.5682013011164104,0.197648821009396,-2.242528562354335,0.10632189131749553,0.7997970320912342,0.05718473110864737,-2.6307629659110154,0.01793417692301181,-0.2803313492348704,6149.709059040297,7367.961154878243,1,1,-10.0,-16.0,1355.3146879248748,1145.9023416612795,7454.230783586811,6302.462879137037,0.14916572,0.15521479
389.6396344454092,399.7788628512758,389.6396344454092,399.7788628512758,375.58317251173844,365.95322330608514,186.0410174985486,77.31054063518903,12.93539489775481,71.14467193765145,17.555133847855227,0.8,181.5,0.5847119645984927,0.7799487188672476,2013.5,17086224.0,0.6975917457004259,2.931685381543672,0.21169560741151805,-0.76935179047256,0.09253779316897373,0.34702129409119775,0.14478940443657687,2.0049787835144723,0.16993890857737695,-1.6299663800624358,0.16497209188636927,1.322162122700702,6201.707448814562,7298.242728183469,2,2,-9.0,-15.0,1353.228510556592,1142.0489753327163,7442.756808061256,6281.26936432994,0.14076501,0.14172958
385.18780701699797,392.7142740085218,385.18780701699797,392.7142740085218,367.4030871502857,365.4302895082861,150.06191475129637,97.8159592669173,11.563378802909895,63.59858341600442,18.56364323148292,0.8,170.5,0.5899250233918161,0.7800863228584944,2271.75,18123684.0,0.7135856618840165,-2.8393656040575954,0.15135717604507062,0.8322200944329813,0.05959443745458923,0.4754057411271744,0.14160379738581444,-1.417545551695074,0.16852224246402236,1.9758383408954374,0.151495329692906,-0.8072177446645092,6145.716979326571,7295.366592295573,3,3,-8.0,-14.0,1348.0012467363465,1136.0993553569504,7414.006857049906,6248.546454463227,0.13273175,0.13466978
387.3492966452193,388.2257307263221,387.3492966452193,388.2257307263221,380.7457018625395,356.31773211964054,175.49399233674873,36.319771304738936,10.541069174543251,57.975880459987884,13.805163691908872,0.7944444444444444,165.0,0.6172622446854792,0.779978377170562,2589.5,18491834.0,0.7307354945000075,3.021574816940985,0.2227537587663284,-0.7223951025443247,0.13899904175087374,1.2309538127553195,0.13892514054742358,-2.478582675496107,0.1575914760259332,0.26326342382704343,0.11113373058699592,-2.931562162728317,6169.601360243968,7300.247526658023,4,4,-7.0,-13.0,1355.101875669416,1129.3252643139022,7453.060316181787,6211.288953726462,0.11950711,0.120458
381.417297216549,386.7411005885114,381.417297216549,386.7411005885114,380.2886203768794,350.6833389238673,198.3176891555425,6.207722618182771,9.417322560594336,51.79527408326885,6.951175074155307,0.8,38.5,0.4111028497778494,0.9119551143720328,2840.0,18831078.0,0.22920446480800805,2.2247575085413933,0.12434083750627553,3.0769059006457913,0.0573082712541844,-2.359067720210488,0.04413065449695692,-2.231912988323171,0.01356413751600769,-0.8072210051690699,0.037393173840622775,-0.09291918110341257,6167.087412072837,7236.25836408127,5,5,-6.0,-12.0,1349.7204001253242,1124.36825082023,7423.462200689283,6184.025379511266,0.112682596,0.11591014
379.8610170848883,385.1468386247388,379.8610170848883,385.1468386247388,380.7796418989467,352.8374631274752,177.7015652349498,-5.052436477321066,8.884458054402623,48.86451929921443,3.8574307912915695,0.8,27.5,0.4288956018329724,0.8538148843026891,3020.75,19006078.0,0.164847937992038,2.149470867456989,0.08151441451735894,2.5888563111435094,0.024289723934856247,-2.8563997212103924,0.05483228398186272,-2.810708807334719,0.0221459890552791,-2.648567269686031,0.024457208466631037,1.6129503920504251,6164.288030444207,7231.606047201113,6,6,-5.0,-11.0,1345.4428083787986,1121.4525964683721,7399.935446083393,6167.989280576046,0.10546918,0.107205726
382.25074002627156,382.9700651452687,382.25074002627156,382.9700651452687,383.7588079742997,353.5444593608192,161.84083181447218,-8.294373714154858,9.126805582074038,50.19743070140721,5.874217771983857,0.8,38.5,0.42719850620777833,0.9794980558501237,3251.0,18768756.0,0.15497263408625853,1.4794343338637137,0.053459372532154284,2.658547315206768,0.020486750676856805,-0.8139446049893395,0.03751924450123248,2.865802217108164,0.06882463974748584,-0.3246084493929768,0.02483859506163343,0.7058102302298732,6158.673443858649,7235.4945264845055,7,7,-4.0,-10.0,1344.32973099635,1119.2466667309939,7393.8135204799255,6155.856667020466,0.10001982,0.10155214
384.7467495203297,383.87996331814134,384.7467495203297,383.87996331814134,386.655357560148,358.54665668556083,139.33318647919276,-10.497344219000752,8.982462577580247,49.403544176691355,5.19691837983775,0.8,38.5,0.43365982561484157,0.9824179650100096,3450.5,18893504.0,0.17913420438487407,1.239441346439452,0.10416518465837754,1.9476093508985615,0.0400123886144547,-1.833176419647105,0.053636171271029605,-2.9949502983199383,0.026992901049506756,-1.6089907946027378,0.05386831889157165,0.009556518799684059,6152.604466580813,7235.506611770584,8,8,-3.0,-9.0,1340.3801456543881,1117.4615440095708,7372.090801099134,6146.038492052639,0.09390296,0.097893246
383.6313773441154,382.6270707810047,383.6313773441154,382.6270707810047,385.4940922070354,371.725472344396,59.958791401347895,-10.24493174606016,2.493500796967529,13.714254383321409,5.322689011494417,0.8,44.0,0.8294993532273415,0.9950554675118859,3934.0,19264662.0,0.15706673404882168,1.161587534394171,0.41482615726962635,-2.5563250409389235,0.1741890461412857,0.8049870806649654,0.12574391232132864,1.660484624049376,0.23167685336729948,-1.4455687922546117,0.06697809479647383,0.766835738662276,6129.7175071386955,7269.490097894178,9,9,-2.0,-8.0,1333.9130598597849,1112.7375413889513,7336.521829228817,6120.056477639232,0.08922795,0.09234398
