label,regime,method,variant,beam_air_zone_um,sample_uncorrected_zone_um,sample_corrected_zone_um,sample_corrected_peak_z_um,ring_or_core_um,peak_fluence_J_cm2,side_to_core_peak_ratio,medium_n,surface_transmission,corrected_rel_l2_to_no_interface,uncorrected_rel_l2_to_no_interface,phase_only_power_relative_error,spherical_after_waves
general_holographic_ideal,general,holographic,ideal,116.69773538116718,127.4035360626101,292.05405029584296,264.0625,2.641613924050633,2.717424953836308,0.42935036856926695,2.44,0.96,0.007046361566289278,1.3509248328526973,1.7737497260596249e-16,-8.86475275699124e-05
general_holographic_lab,general,holographic,lab,39.79540227043807,145.02437305897624,98.62000846241472,304.6875,1.8855529937067468,4.8051287014702835,0.33157488881061875,2.44,0.96,0.007086828141857968,1.357513618904602,1.5927043377145026e-16,-0.000160558808867512
general_physical_ideal,general,physical,ideal,112.24751586893005,114.70757345685126,281.88343116489364,264.0625,2.39003164556962,15.033534222072163,0.592451021934862,2.44,0.96,0.0069953642025671545,1.3707633418563823,1.8655927902386112e-16,-8.86475275699124e-05
general_physical_lab,general,physical,lab,112.26570202572303,114.87132340532104,281.87803018624584,264.0625,2.39003164556962,15.03230403742219,0.592956403351539,2.44,0.96,0.006995287365336494,1.3707875392993476,0.0,-8.86475275699124e-05
limits_holographic_ideal,limits,holographic,ideal,116.73754309709446,130.90737030315222,338.98550280311633,224.99999999999997,1.6352848101265824,3.4238834344582143,0.5000578236945931,2.44,0.96,0.0070844591049560686,1.4240830647244322,0.0,-8.86475275699124e-05
limits_holographic_lab,limits,holographic,lab,426.4774221065457,646.7825244037298,675.0,0.0,2.9042394360252257,0.5432654177279056,1.0,2.44,0.96,0.007907484318949609,1.1012864538581064,0.0,-0.000160558808867512
limits_physical_ideal,limits,physical,ideal,108.64347204039818,84.8138589139687,311.0680420189327,224.99999999999997,1.6352848101265824,12.833614088771178,0.1557092270994867,2.44,0.96,0.007092040474782161,1.4262704349294228,2.0810422185983422e-16,-8.86475275699124e-05
limits_physical_lab,limits,physical,lab,108.61296571155759,84.81300700703942,311.0816747087775,224.99999999999997,1.6352848101265824,12.83421252182833,0.15572045981190896,2.44,0.96,0.007092249086682394,1.4262084881141803,0.0,-8.86475275699124e-05
