case_id,ell,input_energy_uJ,target_core_diameter_um,target_bessel_length_um,gamma_slm_deg,pulse_energy_at_sample_uJ,bessel_zone_um,peak_fluence_J_cm2,side_to_core_peak_ratio,fluence_to_threshold_ratio
ell0_core3_L150,0,10.0,3.0,150.0,0.5925391693126465,2.7337500000000006,37.63188411305561,25.191874955583682,0.1413877465509107,
ell3_core3_L150,3,10.0,3.0,150.0,0.5925391693126465,2.7337500000000006,38.01556727371095,4.71838064584986,0.3762627818645029,
ell5_core4_L200,5,20.0,4.0,200.0,0.44441130847920957,5.467500000000001,36.33085542056427,7.66788311197458,0.40186164924756906,
