case_id,path,ell,target_core_diameter_um,target_scale_definition,target_equivalent_l0_core_diameter_um,equivalent_l0_first_zero_radius_um,equivalent_l0_first_zero_diameter_um,vortex_main_ring_radius_um,vortex_main_ring_diameter_um,target_bessel_length_um,gamma_slm_deg,magnification_to_sample,ring_radius_um,ring_diameter_um,core_radius_um,core_radius_definition,core_hwhm_radius_um,core_hwhm_diameter_um,core_first_zero_radius_um,core_first_zero_diameter_um,feature_radius_um,feature_diameter_um,ring_width_um,propagation_method,output_dx_at_peak_um,sas_retained_power_fraction_min,sas_z_over_limit_max,pulse_energy_at_sample_uJ,peak_fluence_J_cm2,incubated_threshold_J_cm2,side_to_core_peak_ratio,bessel_zone_um,canonical_zone_um,canonical_zone_start_um,canonical_zone_end_um,bessel_region_um,strict_bessel_region_um,strict_bessel_region_start_um,strict_bessel_region_end_um,bessel_region_start_um,bessel_region_end_um,bessel_region_definition,line_proxy_threshold_length_um,qa_status,propagation_power_drift_fraction,propagation_power_label,phase_sampling_label,focal_sampling_label,axial_sampling_label,focal_kt_nyquist_over_kr,input_energy_uJ,run_id,generated_at_utc,source_schema_version,mapping_mode,objective_map_source,objective_map_demag,mapping_claim_scope,hardware_target_achieved,phase1r_metadata_reexport,phase1r_quantitative_status,phase1r_quantitative_valid,phase1r_case_uid,phase1r_evidence_path
ell0_core3_L150,realistic,0,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,0.0,0.0,150.0,0.5925391693126465,0.008071063517253126,0.0,0.0,0.6748531090457496,ell0_bright_core_hwhm_radius,0.6748531090457496,1.3497062180914992,1.4998912002260536,2.999782400452107,0.6748531090457496,1.3497062180914992,1.3497062180914992,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,25.191874955583682,,0.1413877465509107,37.63188411305561,37.63188411305561,-81.92984980732443,-44.29796569426882,9.374999999999998,9.374999999999998,-57.482109032242334,-48.107109032242334,-57.482109032242334,-48.107109032242334,strict_intersection_peak_power_radius,0.0,marginal,0.3937609406052408,fail,pass,pass,pass,7.799569355087367,10.0,20260615T210219Z,2026-06-15T21:02:19.802102+00:00,2.0.0,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,invalid_unconverged,false,HDR-7eeacdc4c929,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
ell3_core3_L150,realistic,3,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,2.6202841629171694,5.240568325834339,150.0,0.5925391693126465,0.008071063517253126,1.635420391088523,3.270840782177046,1.157494032332498,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,1.635420391088523,3.270840782177046,1.1756641573618356,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,4.71838064584986,,0.3762627818645029,38.01556727371095,38.01556727371095,-81.33441081776829,-43.31884354405733,0.0,0.0,-50.33086756475486,-50.33086756475486,-50.33086756475486,-50.33086756475486,strict_intersection_peak_power_radius,0.0,marginal,0.4031126992938065,fail,pass,pass,pass,7.799569355087367,10.0,20260615T210219Z,2026-06-15T21:02:19.802122+00:00,2.0.0,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,invalid_unconverged,false,HDR-3a174a621422,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
ell5_core4_L200,realistic,5,4.0,equivalent_l0_first_zero_diameter,4.0,2.0,4.0,5.335231913264233,10.670463826528467,200.0,0.44441130847920957,0.008071063517253126,3.1482415482835413,6.296483096567083,2.2834055012232697,legacy_vortex_inner_hwhm_radius,,,1.9998549336347382,3.9997098672694764,3.1482415482835413,6.296483096567083,1.5592222445559107,bl_asm,0.25122070312500006,1.0,,5.467500000000001,7.66788311197458,,0.40186164924756906,36.33085542056427,36.33085542056427,-64.31694135586116,-27.98608593529688,0.0,0.0,-45.427870903400326,-45.427870903400326,-45.427870903400326,-45.427870903400326,strict_intersection_peak_power_radius,0.0,marginal,0.6136154465755946,fail,pass,pass,pass,10.399425806783155,20.0,20260615T210219Z,2026-06-15T21:02:19.802132+00:00,2.0.0,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,invalid_unconverged,false,HDR-35324642dc62,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
