case_id,path,ell,target_core_diameter_um,target_scale_definition,target_equivalent_l0_core_diameter_um,equivalent_l0_first_zero_radius_um,equivalent_l0_first_zero_diameter_um,vortex_main_ring_radius_um,vortex_main_ring_diameter_um,target_bessel_length_um,gamma_slm_deg,magnification_to_sample,ring_radius_um,ring_diameter_um,core_radius_um,core_radius_definition,core_hwhm_radius_um,core_hwhm_diameter_um,core_first_zero_radius_um,core_first_zero_diameter_um,feature_radius_um,feature_diameter_um,ring_width_um,propagation_method,output_dx_at_peak_um,sas_retained_power_fraction_min,sas_z_over_limit_max,pulse_energy_at_sample_uJ,peak_fluence_J_cm2,incubated_threshold_J_cm2,side_to_core_peak_ratio,bessel_zone_um,canonical_zone_um,canonical_zone_start_um,canonical_zone_end_um,bessel_region_um,strict_bessel_region_um,strict_bessel_region_start_um,strict_bessel_region_end_um,bessel_region_start_um,bessel_region_end_um,bessel_region_definition,line_proxy_threshold_length_um,qa_status,propagation_power_drift_fraction,propagation_power_label,phase_sampling_label,focal_sampling_label,axial_sampling_label,focal_kt_nyquist_over_kr,input_energy_uJ,run_id,generated_at_utc,source_schema_version
ell0_L100_core3_E10,realistic,0,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,0.0,0.0,100.0,0.39503393684376026,0.008071063517253126,0.0,0.0,0.6062728537775443,ell0_bright_core_hwhm_radius,0.6062728537775443,1.2125457075550885,1.4998912002260536,2.999782400452107,0.6062728537775443,1.2125457075550885,1.2125457075550885,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,34.506127638681455,,0.13535996035796727,16.69285846020068,16.69285846020068,-46.75863355376609,-30.06577509356541,6.250000000000017,6.250000000000017,-40.7332389806386,-34.48323898063859,-40.7332389806386,-34.48323898063859,strict_intersection_peak_power_radius,0.0,marginal,0.09578639096956364,marginal,pass,pass,marginal,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608642+00:00,2.0.0
ell0_L150_core3_E10,realistic,0,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,0.0,0.0,150.0,0.5925391693126465,0.008071063517253126,0.0,0.0,0.6748531090457496,ell0_bright_core_hwhm_radius,0.6748531090457496,1.3497062180914992,1.4998912002260536,2.999782400452107,0.6748531090457496,1.3497062180914992,1.3497062180914992,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,25.191874955583682,,0.1413877465509107,37.63188411305561,37.63188411305561,-81.92984980732443,-44.29796569426882,9.374999999999998,9.374999999999998,-57.482109032242334,-48.107109032242334,-57.482109032242334,-48.107109032242334,strict_intersection_peak_power_radius,0.0,marginal,0.3937609406052408,fail,pass,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608660+00:00,2.0.0
ell0_L200_core3_E10,realistic,0,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,0.0,0.0,200.0,0.790030320512193,0.008071063517253126,0.0,0.0,0.7181663450676601,ell0_bright_core_hwhm_radius,0.7181663450676601,1.4363326901353202,1.4998912002260536,2.999782400452107,0.7181663450676601,1.4363326901353202,1.4363326901353202,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,1.7299246899792833,,0.3941246086841041,205.65180003348271,205.65180003348271,44.21523732871268,249.86703736219542,32.605857507441904,32.605857507441904,65.11004767455371,97.71590518199561,65.11004767455371,97.71590518199561,strict_intersection_peak_power_radius,0.0,marginal,0.20831673114175897,fail,marginal,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608671+00:00,2.0.0
ell0_L250_core3_E10,realistic,0,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,0.0,0.0,250.00000000000003,0.9875026998089937,0.008071063517253126,0.0,0.0,1.801804552564168,ell0_bright_core_hwhm_radius,1.801804552564168,3.603609105128336,1.4998912002260536,2.999782400452107,1.801804552564168,3.603609105128336,3.603609105128336,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,0.9130761699951244,,0.3771817961492152,87.68484263708773,87.68484263708773,-241.01383799491202,-153.32899535782428,49.924960432595455,49.924960432595455,-240.83570219440398,-190.91074176180854,-240.83570219440398,-190.91074176180854,strict_intersection_peak_power_radius,0.0,marginal,0.07067395366955498,marginal,marginal,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608681+00:00,2.0.0
ell1_L100_core3_E10,realistic,1,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,1.1483474727696423,2.2966949455392847,100.0,0.39503393684376026,0.008071063517253126,0.8813929221138725,1.762785844227745,0.27399799635939437,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,0.8813929221138725,1.762785844227745,1.0628341543568889,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,12.324883325811388,,0.3342905899056335,21.897502928313617,21.897502928313617,-51.74816915056071,-29.850666222247096,6.2500000000000036,6.2500000000000036,-42.758390109021654,-36.50839010902165,-42.758390109021654,-36.50839010902165,strict_intersection_peak_power_radius,0.0,marginal,0.08569970883749362,marginal,pass,pass,marginal,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608691+00:00,2.0.0
ell1_L150_core3_E10,realistic,1,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,1.1483474727696423,2.2966949455392847,150.0,0.5925391693126465,0.008071063517253126,0.88015654429625,1.7603130885925,0.0,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,0.88015654429625,1.7603130885925,1.3157205796378246,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,9.366730253431724,,0.33574848746822344,31.35034661956255,31.35034661956255,-76.66386200016404,-45.313515380601494,0.0,0.0,-53.76605394113792,-53.76605394113792,-53.76605394113792,-53.76605394113792,strict_intersection_peak_power_radius,0.0,marginal,0.37733593558746725,fail,pass,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608701+00:00,2.0.0
ell1_L200_core3_E10,realistic,1,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,1.1483474727696423,2.2966949455392847,200.0,0.790030320512193,0.008071063517253126,0.6295073988113791,1.2590147976227581,0.0,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,0.6295073988113791,1.2590147976227581,23.79537967507013,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,0.8979594377654517,,1.0,38.721295506963244,38.721295506963244,-18.77532968514135,19.94596582182189,25.00000000000004,25.00000000000004,-14.904226837699035,10.095773162301006,-14.904226837699035,10.095773162301006,strict_intersection_peak_power_radius,0.0,marginal,0.06283734338954036,marginal,marginal,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608711+00:00,2.0.0
ell1_L250_core3_E10,realistic,1,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,1.1483474727696423,2.2966949455392847,250.00000000000003,0.9875026998089937,0.008071063517253126,1.8979936767010628,3.7959873534021256,0.9588199507186039,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,1.8979936767010628,3.7959873534021256,22.449768728594506,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,0.8871095110515118,,1.1519527460093275,95.58627434216133,95.58627434216133,-56.60066551809427,38.98560882406706,31.25000000000003,31.25000000000003,-15.825853976050647,15.424146023949382,-15.825853976050647,15.424146023949382,strict_intersection_peak_power_radius,0.0,marginal,0.06976905209761322,marginal,marginal,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608720+00:00,2.0.0
ell3_L100_core3_E10,realistic,3,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,2.6202841629171694,5.240568325834339,100.0,0.39503393684376026,0.008071063517253126,1.8898375181388254,3.779675036277651,1.2859808878849206,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,1.8898375181388254,3.779675036277651,1.2972814510270259,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,6.5504502823901785,,0.28193527737370505,23.094144874760822,23.094144874760822,-51.741648613559605,-28.647503738798783,6.2500000000000036,6.2500000000000036,-39.56682848716861,-33.31682848716861,-39.56682848716861,-33.31682848716861,strict_intersection_peak_power_radius,0.0,marginal,0.08108611577352598,marginal,pass,pass,marginal,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608730+00:00,2.0.0
ell3_L150_core3_E10,realistic,3,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,2.6202841629171694,5.240568325834339,150.0,0.5925391693126465,0.008071063517253126,1.635420391088523,3.270840782177046,1.157494032332498,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,1.635420391088523,3.270840782177046,1.1756641573618356,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,4.71838064584986,,0.3762627818645029,38.01556727371095,38.01556727371095,-81.33441081776829,-43.31884354405733,0.0,0.0,-50.33086756475486,-50.33086756475486,-50.33086756475486,-50.33086756475486,strict_intersection_peak_power_radius,0.0,marginal,0.4031126992938065,fail,pass,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608740+00:00,2.0.0
ell3_L200_core3_E10,realistic,3,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,2.6202841629171694,5.240568325834339,200.0,0.790030320512193,0.008071063517253126,2.913224245053409,5.826448490106818,0.8619952527504813,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,2.913224245053409,5.826448490106818,22.823784478770712,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,1.4659493533039805,,1.0,24.07018816222887,24.07018816222887,-12.26455366487606,11.805634497352811,0.0,0.0,-0.2912211919668976,-0.2912211919668976,-0.2912211919668976,-0.2912211919668976,strict_intersection_peak_power_radius,0.0,marginal,0.08474119812176148,marginal,marginal,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608748+00:00,2.0.0
ell3_L250_core3_E10,realistic,3,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,2.6202841629171694,5.240568325834339,250.00000000000003,0.9875026998089937,0.008071063517253126,4.649904042744171,9.299808085488342,0.898122047915401,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,4.649904042744171,9.299808085488342,22.602744330278117,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,1.208869641345295,,1.1343986259242729,143.1991969563694,143.1991969563694,-75.78212732486341,67.417069631506,31.249999999999975,31.249999999999975,-33.91577493978837,-2.6657749397883945,-33.91577493978837,-2.6657749397883945,strict_intersection_peak_power_radius,0.0,marginal,0.1402804282958071,marginal,marginal,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608758+00:00,2.0.0
ell5_L100_core3_E10,realistic,5,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,4.001423934948176,8.002847869896351,100.0,0.39503393684376026,0.008071063517253126,2.8963060527964255,5.792612105592851,2.100050090336051,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,2.8963060527964255,5.792612105592851,1.3773705227896262,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,4.95382864314492,,0.24413956965207884,25.74856040902422,25.74856040902422,-53.37332076478752,-27.624760355763303,6.2500000000000036,6.2500000000000036,-36.33435809847269,-30.084358098472688,-36.33435809847269,-30.084358098472688,strict_intersection_peak_power_radius,0.0,marginal,0.08962275339570554,marginal,pass,pass,marginal,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608767+00:00,2.0.0
ell5_L150_core3_E10,realistic,5,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,4.001423934948176,8.002847869896351,150.0,0.5925391693126465,0.008071063517253126,2.8898914875587556,5.779782975117511,2.177670420399602,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,2.8898914875587556,5.779782975117511,1.4029560261811442,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,3.5994634984952047,,0.34799061410263527,35.10050868868784,35.10050868868784,-77.17543069728403,-42.07492200859619,9.374999999999998,9.374999999999998,-56.59729341399845,-47.22229341399845,-56.59729341399845,-47.22229341399845,strict_intersection_peak_power_radius,0.0,marginal,0.4059889449661636,fail,pass,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608776+00:00,2.0.0
ell5_L200_core3_E10,realistic,5,3.0,equivalent_l0_first_zero_diameter,3.0,1.5,3.0,4.001423934948176,8.002847869896351,200.0,0.790030320512193,0.008071063517253126,7.165883639461137,14.331767278922275,4.417349091732047,legacy_vortex_inner_hwhm_radius,,,1.4998912002260536,2.999782400452107,7.165883639461137,14.331767278922275,19.09177793597379,bl_asm,0.25122070312500006,1.0,,2.7337500000000006,1.795163257988151,,1.0719712300412914,23.47069743102534,23.47069743102534,-12.068292958681898,11.402404472343441,0.0,0.0,-0.7600045049333047,-0.7600045049333047,-0.7600045049333047,-0.7600045049333047,strict_intersection_peak_power_radius,0.0,marginal,0.1110637435198303,marginal,marginal,pass,pass,7.799569355087367,10.0,20260615T210311Z,2026-06-15T21:03:11.608785+00:00,2.0.0
