preset,fair_same_train_assertion,element_order,grid_N,grid_dx_um,vector_case,psi_lab_observable,S3_lab_observable,S3_note,ideal_zone_um,lab_zone_um,delta_zone_um,ratio_zone_um,ideal_feature_radius_um,lab_feature_radius_um,delta_feature_radius_um,ratio_feature_radius_um,ideal_feature_diameter_um,lab_feature_diameter_um,delta_feature_diameter_um,ratio_feature_diameter_um,ideal_feature_width_um,lab_feature_width_um,delta_feature_width_um,ratio_feature_width_um,ideal_peak_fluence_proxy_au,lab_peak_fluence_proxy_au,delta_peak_fluence_proxy_au,ratio_peak_fluence_proxy_au,ideal_contrast,lab_contrast,delta_contrast,ratio_contrast,ideal_throughput,lab_throughput,delta_throughput,ratio_throughput,ideal_total_power_au_m2,lab_total_power_au_m2,delta_total_power_au_m2,ratio_total_power_au_m2,ideal_S1_over_S0_weighted_mean,lab_S1_over_S0_weighted_mean,delta_S1_over_S0_weighted_mean,ratio_S1_over_S0_weighted_mean,ideal_S2_over_S0_weighted_mean,lab_S2_over_S0_weighted_mean,delta_S2_over_S0_weighted_mean,ratio_S2_over_S0_weighted_mean,ideal_S3_over_S0_weighted_mean,lab_S3_over_S0_weighted_mean,delta_S3_over_S0_weighted_mean,ratio_S3_over_S0_weighted_mean,ideal_psi_weighted_mean_rad,lab_psi_weighted_mean_rad,delta_psi_weighted_mean_rad,ratio_psi_weighted_mean_rad,ideal_chi_field_only_weighted_mean_rad,lab_chi_field_only_weighted_mean_rad,delta_chi_field_only_weighted_mean_rad,ratio_chi_field_only_weighted_mean_rad,ideal_analyzer_0_mean,lab_analyzer_0_mean,delta_analyzer_0_mean,ratio_analyzer_0_mean,ideal_analyzer_45_mean,lab_analyzer_45_mean,delta_analyzer_45_mean,ratio_analyzer_45_mean,ideal_analyzer_90_mean,lab_analyzer_90_mean,delta_analyzer_90_mean,ratio_analyzer_90_mean,ideal_analyzer_135_mean,lab_analyzer_135_mean,delta_analyzer_135_mean,ratio_analyzer_135_mean,analyzer_0_corr,analyzer_45_corr,analyzer_90_corr,analyzer_135_corr,psi_rms_delta_rad
segmented_vector_hexagon,True,LinearPolarizerElement -> SegmentedWaveplateElement -> PhysicalAxiconElement -> FourierRelayFilterElement,320,0.18,True,True,False,field-only diagnostic unless a QWP analyzer is present,55.0,55.0,0.0,1.0,25.12137292882021,25.30677051501076,0.18539758619055036,1.007380073800738,50.24274585764042,50.61354103002152,0.3707951723811007,1.007380073800738,39.11889068620711,39.11889068620711,0.0,1.0,1.5487338108129771,0.7554682328311365,-0.7932655779818406,0.4877973397084735,0.7646337178362115,0.7679516318845646,0.003317914048353132,1.0043392201664116,0.9095271117066716,0.5243868395366137,-0.38514027217005786,0.576548882146717,3.0175926701359267e-09,1.7397896807409953e-09,-1.2778029893949314e-09,0.576548882146717,-0.0002360134519748901,-0.0010055391579013296,-0.0007695257059264394,4.260516294674215,0.004824409499725718,0.006541252685392314,0.0017168431856665958,1.355865974014893,9.772312439693733e-06,0.0013553066358142254,0.0013455343233745316,138.6884265293406,0.8025776140701549,0.864730427420017,0.06215281334986211,1.0774414988161247,1.909084397709272e-06,0.0006748907250446816,0.0006729816406469723,353.5153950524603,0.4792768348643318,0.274433786112597,-0.2048430487517348,0.5725997297371582,0.4789358888605781,0.27557141894170123,-0.20336446991887686,0.5753826876438616,0.47591330875181653,0.27292327964691954,-0.202990029104897,0.5734726779604433,0.4762542547555705,0.27178564681781525,-0.20446860793775523,0.5706734251798017,0.9784578607962534,0.9829817448796689,0.9769999687860623,0.9822918333491345,0.08455991746558698
qplate_radial,True,LinearPolarizerElement -> QPlateElement -> PhysicalAxiconElement -> FourierRelayFilterElement,320,0.18,True,True,False,field-only diagnostic unless a QWP analyzer is present,55.0,52.49999999999999,-2.500000000000007,0.9545454545454544,5.469228792621374,1.0196867240480527,-4.449542068573321,0.18644067796610167,10.938457585242748,2.0393734480961054,-8.899084137146643,0.18644067796610167,39.489685858588224,39.86048103096933,0.3707951723811078,1.0093896713615023,1.2476240376559036,0.87372734822903,-0.3738966894268736,0.7003130124605736,0.15190528668912853,0.005750776881622309,-0.14615450980750622,0.03785764805797162,0.9748374625511047,0.5576286158410269,-0.41720884671007785,0.5720221444729242,3.234276739753553e-09,1.8500779164927254e-09,-1.3841988232608278e-09,0.5720221444729242,-2.2736519624579957e-17,0.05116587803256291,0.05116587803256293,-2250383034756596.8,1.4432361089821262e-18,5.704089646273481e-07,5.704089646259048e-07,395229138930.8754,3.8995129483074757e-19,-1.1232520042601186e-06,-1.1232520042605084e-06,-2880493074769.167,-1.392267705321113,0.012725379075837043,1.40499308439695,-0.009140037528129016,8.395748518597945e-20,-2.3493014621415067e-06,-2.3493014621415906e-06,-27982037062084.94,0.49820960061920094,0.29785961756488627,-0.20034998305431467,0.5978600516623741,0.498209600619201,0.2831888435929847,-0.2150207570262163,0.568413059967176,0.498209600619201,0.26845514043716134,-0.22975446018203965,0.5388397576110762,0.49820960061920094,0.2831259144090629,-0.21508368621013807,0.5682867493062743,0.9846906200199628,0.9914531844128305,0.9876782256644602,0.9918699377391673,0.07368547614394766
qplate_azimuthal,True,LinearPolarizerElement -> QPlateElement -> PhysicalAxiconElement -> FourierRelayFilterElement,320,0.18,True,True,False,field-only diagnostic unless a QWP analyzer is present,52.5,52.49999999999999,-7.105427357601002e-15,0.9999999999999999,5.469228792621374,1.0196867240480527,-4.449542068573321,0.18644067796610167,10.938457585242748,2.0393734480961054,-8.899084137146643,0.18644067796610167,39.489685858588224,40.045878617159886,0.5561927585716617,1.0140845070422535,1.1195664480828273,0.8083049227389131,-0.31126152534391427,0.7219803023956943,0.15190528668912914,0.0063344249552534345,-0.1455708617338757,0.04169983213432655,0.8747790059070865,0.5022586461641894,-0.3725203597428971,0.5741548925758468,2.902306794638295e-09,1.666373645897701e-09,-1.235933148740594e-09,0.574154892575847,1.1368259812289978e-17,0.05680866827256047,0.05680866827256045,4997129658414462.0,8.281954902312816e-18,8.691880167018379e-07,8.691880166935559e-07,104949619619.27657,9.714089195072002e-19,-1.9381990008198425e-06,-1.938199000820814e-06,-1995245217432.3289,0.23221427689271404,0.011107012468314238,-0.2211072644243998,0.047830876795942306,4.419910583757761e-19,-2.087947556650812e-06,-2.087947556651254e-06,-4723958815634.991,0.4470727848543097,0.2690725632880745,-0.17800022156623518,0.6018540434657833,0.4470727848543097,0.25496453537229247,-0.1921082494820172,0.570297598086583,0.4470727848543097,0.24092632487896903,-0.20614645997534065,0.5388973183806774,0.4470727848543097,0.25503435279475106,-0.19203843205955862,0.5704537637598779,0.982747947381327,0.990809520398441,0.9861544913890081,0.9902838435010444,0.07995045630406461
scalar_vortex_bessel,True,SLMPhaseElement -> FourierRelayFilterElement,320,0.18,False,False,False,not applicable to scalar baseline,95.0,95.0,0.0,1.0,2.688264999763048,2.873662585953603,0.1853975861905548,1.0689655172413792,5.376529999526096,5.747325171907206,0.3707951723811096,1.0689655172413792,39.30428827239766,39.30428827239766,0.0,1.0,1.4450006322175704,0.8647725275701733,-0.580228104647397,0.5984582347504237,0.10003911230863047,0.001156290191254579,-0.0988828221173759,0.011558381162832696,0.983181177697397,0.6467975071175007,-0.33638367057989627,0.6578619707023844,3.2619591841173157e-09,2.145918897214159e-09,-1.1160402869031566e-09,0.6578619707023844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
