case,n_axicon,n_medium,order,order_fidelity,angular_contrast,core_null_depth,localization_fraction,lattice_periodicity_proxy,sixfold_visible,dark_core_pass,localized_pass,exit_total_power_au_m2,propagated_order_fidelity,propagated_angular_contrast,propagated_core_null_depth,total_power_au_m2,k_dot_e_rms,ez_power_fraction,power_drift_rel,tp_abs,ts_abs,fresnel_amplitude_contrast
index_contrast_axicon,1.46,1.0,6,0.35490579219824264,0.10549521480508427,1.3457548491004215e-30,0.9999999363030445,2.1010655917064568e-22,True,True,True,8.006138409972655e-11,0.07171491271985155,0.4528668424676213,1.8142434790417572e-06,7.653670515331698e-11,2.269945333914233e-17,0.015711705626087206,1.6886926403809169e-16,0.9990573148616655,0.9463972606018695,0.054136503544164175
matched_index_axicon,1.0,1.0,6,1.6407872542985211e-15,0.006787498017217176,1.4976833781332416e-30,0.9999999363030446,2.1010655917064568e-22,False,True,True,8.455179046615136e-11,0.06636519501290658,0.4057771542428792,2.0091567604146942e-06,8.080564435083856e-11,2.2550910981582518e-17,0.01580638535106813,1.599479488713084e-16,1.0,1.0,0.0
