candidate_id,carrier_lpmm,iris_radius_frac,qwp_angle_correction_deg,sector_rotation_deg,global_v_piston_rad,sector_duty_scale,mask_recentre_x_m,mask_recentre_y_m,source,corr_full,corr_focus_crop,corr_v0_support,corr_useful_region,corr_angular,corr_radial,corr_to_realistic_4f,ssim_like_focus,c45,c60,c90,c120,c180,deltaC_c120_minus_c60,h3,h4,h6,h4_over_h6,h3_over_h6,dark_core_ratio,ring_island_count,classifier_label,legacy_strict_gate,P_total,P_useful,P_useful_over_P_total,I_peak,side_lobe_fraction,peak_per_total,single_pixel_peak,local_3x3_peak_mean,local_radius_peak_mean,useful_region_peak,peak_metric_used,peak_metric_definition,fourfold_x_veto,triangular_c3_veto,reference_drift_veto,strict_hexagon_eligible,strict_fail_reasons,legacy_z60_correlation,legacy_angular_correlation,first_order_efficiency,total_throughput,shape_fidelity_score,strict_peak_metric,strict_useful_energy_metric,strict_compromise_score,eligible_for_ranking,ineligibility_note,old_optimum_label
m2u2_opt_020_c5.75_i0.40_q-0.25_r+0.0_p0.00,5.75,0.4,-0.25,0.0,0.0,1.0,0.0,0.0,old_m2u2_best_shape,0.9916285269344617,0.9896261944585459,0.989277790755183,0.9909271859491975,0.9981565282732274,0.9997997228451241,0.9990823425317343,0.9584342179151258,0.8032641927048491,0.8624125692856766,0.6131608574540408,0.8346694891394831,0.8043547575167854,-0.027743080146193422,0.020003221839059584,0.13400246169027233,0.14889230237861512,0.8999959000534512,0.1343469173321923,0.0013365237469566817,0,visual_hexagonal_field,True,7059.553442868364,2586.84165388532,0.36643134368485797,52.67612075805664,0.633568656315142,0.007461678870250727,52.67612075805664,29.355866805753774,22.7611639170597,52.67612075805664,29.355866805753774,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,False,True,,0.9917003889911387,0.9981565282732302,0.9396040549394663,0.7681433037050935,0.9948443685375183,29.355866805753774,2586.84165388532,0.8746666122504348,True,,best_shape
m2u2_opt_015_c5.75_i0.32_q+0.25_r+0.0_p0.10,5.75,0.32,0.25,0.0,0.1,1.0,0.0,0.0,old_m2u2_best_peak,0.9890252010494482,0.9865585304737741,0.9862973810502994,0.9878053988336443,0.9962580049901596,0.9992881699478657,0.9941679980131389,0.9528683685062933,0.7953497819822872,0.8560891586917502,0.5930932059358477,0.8261343579095243,0.7981423028320753,-0.0299548007822259,0.01833310164107563,0.1384514568930385,0.16270664754285502,0.8509268612185744,0.11267579977792185,0.0011887801597295698,0,visual_hexagonal_field,True,6955.128106766022,2568.2366242129356,0.3692579899016566,55.326786041259766,0.6307420100983434,0.007954819119354148,55.326786041259766,29.571427948565947,23.08651112117583,55.326786041259766,29.571427948565947,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,True,False,candidate drifted from immutable realistic-4F reference,0.9891142642020562,0.996258004990158,0.9257172692371779,0.7455961015855733,0.9913848162853248,29.571427948565947,2568.2366242129356,0.8713285048324318,False,candidate drifted from immutable realistic-4F reference,best_peak
m2u2_opt_032_c5.75_i0.40_q+0.25_r+0.0_p0.00,5.75,0.4,0.25,0.0,0.0,1.0,0.0,0.0,old_m2u2_best_useful_power,0.9916285446369331,0.9896262109794354,0.9892778022693082,0.9909272128741907,0.998156534705483,0.9997997278230534,0.9990823453274907,0.9584341523808614,0.803264718942767,0.8624130049322974,0.6131618395733229,0.8346700404366142,0.8043555423689799,-0.027742964495683253,0.02000331634792565,0.1340020772223292,0.1488922007705631,0.8999939320449769,0.1343476437610722,0.0013508566080636007,0,visual_hexagonal_field,True,7059.5534153717945,2586.8417368959635,0.3664313568707131,52.6761589050293,0.6335686431292868,0.007461684302909277,52.6761589050293,29.355890811110537,22.761158537563112,52.6761589050293,29.355890811110537,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,False,True,,0.9917004066872318,0.9981565347054866,0.9396040549394663,0.7681433037050936,0.9948443769966429,29.355890811110537,2586.8417368959635,0.8746666192764073,True,,best_useful_power
m2u2_opt_003_c5.75_i0.32_q-0.25_r+0.0_p0.10,5.75,0.32,-0.25,0.0,0.1,1.0,0.0,0.0,old_m2u2_best_compromise,0.9890251802222064,0.9865585138395341,0.986297370308111,0.9878053900762224,0.9962579363338757,0.9992881792332039,0.994167990660226,0.9528684430122849,0.7953491875526697,0.8560886375181812,0.5930919510184747,0.8261336863745814,0.7981415827573427,-0.029954951143599806,0.018333030390535052,0.13845188407854564,0.1627067668415983,0.8509288628009812,0.11267527925487579,0.0011749476591546549,0,visual_hexagonal_field,True,6955.1281315060805,2568.2365290094167,0.36925797489992246,55.326751708984375,0.6307420251000775,0.00795481415480462,55.326751708984375,29.571402271588642,23.086516760644457,55.326751708984375,29.571402271588642,mean intensity in the 3x3 neighbourhood centred on the maximum pixel,False,False,True,False,candidate drifted from immutable realistic-4F reference,0.9891142433134184,0.9962579363338753,0.9257172692371779,0.7455961015855732,0.991384792608082,29.571402271588642,2568.2365290094167,0.8713284891096361,False,candidate drifted from immutable realistic-4F reference,best_compromise
